MORPH_ID,HydroCode,TopScreen,BottomScreen,RefElev,RefElevDesc,SWL,rSWL,Source,measuredDate,nScreens,geometry
3211565641,474500095,24.8,36.8,628.0,UNK,20.5,607.5,GW Explorer,1996-09-03T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,16.86,611.14,GW Explorer,1998-04-01T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,16.9,611.1,GW Explorer,1998-10-16T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,16.91,611.09,GW Explorer,1999-04-10T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,16.95,611.05,GW Explorer,1999-10-22T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,16.96,611.04,GW Explorer,2000-04-02T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,16.95,611.05,GW Explorer,2000-10-22T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,17.0,611.0,GW Explorer,2001-03-31T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,16.8,611.2,GW Explorer,2001-08-03T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,16.97,611.03,GW Explorer,2001-11-05T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,16.62,611.38,GW Explorer,2002-05-11T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,16.36,611.64,GW Explorer,2002-10-22T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,16.22,611.78,GW Explorer,2003-04-06T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,16.12,611.88,GW Explorer,2003-10-20T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,15.83,612.17,GW Explorer,2004-05-05T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,15.51,612.49,GW Explorer,2004-10-26T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,15.22,612.78,GW Explorer,2005-06-01T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,15.12,612.88,GW Explorer,2005-11-14T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,14.96,613.04,GW Explorer,2006-05-05T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,14.87,613.13,GW Explorer,2006-11-04T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,14.78,613.22,GW Explorer,2007-04-27T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,14.73,613.27,GW Explorer,2007-11-03T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,14.76,613.24,GW Explorer,2008-05-07T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,14.71,613.29,GW Explorer,2008-11-04T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,14.63,613.37,GW Explorer,2009-05-16T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,14.69,613.31,GW Explorer,2009-11-01T00:00:00,1.0,
3211565641,474500095,24.8,36.8,628.0,UNK,14.66,613.34,GW Explorer,2010-04-18T00:00:00,1.0,
3211565781,474500038,30.78,39.62,628.0,UNK,17.37,610.63,GW Explorer,1970-10-13T00:00:00,2.0,
3211565781,474500038,30.78,39.62,628.0,UNK,17.3,610.7,GW Explorer,1984-04-06T00:00:00,2.0,
3211565781,474500038,30.78,39.62,628.0,UNK,17.3,610.7,GW Explorer,1985-03-06T00:00:00,2.0,
3213876521,464500083,59.0,60.0,677.0,UNK,6.0,671.0,GW Explorer,1990-11-23T00:00:00,1.0,
3216445581,494500042,,,672.0,UNK,9.2,662.8,GW Explorer,1998-09-13T00:00:00,0.0,
3216445581,494500042,,,672.0,UNK,12.17,659.83,GW Explorer,2000-05-20T00:00:00,0.0,
3216445581,494500042,,,672.0,UNK,10.96,661.04,GW Explorer,2001-05-16T00:00:00,0.0,
3216445581,494500042,,,672.0,UNK,8.38,663.62,GW Explorer,2002-05-10T00:00:00,0.0,
3216445581,494500042,,,672.0,UNK,8.16,663.84,GW Explorer,2003-05-17T00:00:00,0.0,
3216975291,474500213,24.0,77.5,632.0,UNK,17.4,614.6,GW Explorer,2010-06-02T00:00:00,2.0,
3228946431,494500034,29.3,41.3,672.0,UNK,21.7,650.3,GW Explorer,1997-04-01T00:00:00,2.0,
3242352221,494500021,25.0,36.9,679.0,UNK,8.35,670.65,GW Explorer,1992-03-11T00:00:00,1.0,
3242352221,494500021,25.0,36.9,679.0,UNK,8.0,671.0,GW Explorer,1992-08-25T00:00:00,1.0,
3242352221,494500021,25.0,36.9,679.0,UNK,5.9,673.1,GW Explorer,2000-03-26T00:00:00,1.0,
3242352221,494500021,25.0,36.9,679.0,UNK,5.3,673.7,GW Explorer,2000-05-21T00:00:00,1.0,
3242352221,494500021,25.0,36.9,679.0,UNK,5.02,673.98,GW Explorer,2002-05-10T00:00:00,1.0,
3254706341,474500093,32.0,50.0,691.0,UNK,33.5,657.5,GW Explorer,1988-09-22T00:00:00,2.0,
3258332831,474500002,42.67,45.72,659.0,UNK,17.98,641.02,GW Explorer,1957-01-26T00:00:00,1.0,
3258332831,474500002,42.67,45.72,659.0,UNK,17.98,641.02,GW Explorer,1957-01-30T00:00:00,1.0,
3286960371,474500035,28.65,35.05,629.0,UNK,21.49,607.51,GW Explorer,1970-09-26T00:00:00,1.0,
3286960371,474500035,28.65,35.05,629.0,UNK,18.04,610.96,GW Explorer,1998-09-12T00:00:00,1.0,
3286960371,474500035,28.65,35.05,629.0,UNK,18.4,610.6,GW Explorer,2000-05-21T00:00:00,1.0,
3286960371,474500035,28.65,35.05,629.0,UNK,18.44,610.56,GW Explorer,2001-05-17T00:00:00,1.0,
3286960371,474500035,28.65,35.05,629.0,UNK,18.13,610.87,GW Explorer,2002-05-11T00:00:00,1.0,
3286960371,474500035,28.65,35.05,629.0,UNK,17.67,611.33,GW Explorer,2003-05-16T00:00:00,1.0,
3301162411,474500098,24.0,36.0,631.0,UNK,22.0,609.0,GW Explorer,1997-01-16T00:00:00,2.0,
3316956721,484400002,18.0,30.0,555.8766479,UNK,6.7,549.1766479,GW Explorer,1997-01-20T00:00:00,2.0,
3316956721,484400002,18.0,30.0,555.8766479,UNK,7.38,548.4966479,GW Explorer,2000-05-21T00:00:00,2.0,
3316956721,484400002,18.0,30.0,555.8766479,UNK,7.4,548.4766479,GW Explorer,2001-05-17T00:00:00,2.0,
3316956721,484400002,18.0,30.0,555.8766479,UNK,7.39,548.4866479,GW Explorer,2002-05-11T00:00:00,2.0,
3316956721,484400002,18.0,30.0,555.8766479,UNK,7.36,548.5166479,GW Explorer,2003-05-16T00:00:00,2.0,
3318275841,474400007,,,526.0,UNK,13.6,512.4,GW Explorer,1987-08-09T00:00:00,0.0,
3324163011,474500096,24.8,36.8,630.0,UNK,21.0,609.0,GW Explorer,1996-08-07T00:00:00,1.0,
3324163011,474500096,24.8,36.8,630.0,UNK,20.72,609.28,GW Explorer,1997-04-08T00:00:00,1.0,
3324163011,474500096,24.8,36.8,630.0,UNK,20.67,609.33,GW Explorer,1997-10-23T00:00:00,1.0,
3324163011,474500096,24.8,36.8,630.0,UNK,20.8,609.2,GW Explorer,1998-10-16T00:00:00,1.0,
