MORPH_ID,HydroCode,FromDepth,ToDepth,TopElev,BottomElev,ConstructionType,Material,InnerDiameter,OuterDiameter,Property,PropertySize,DrillMethod,LogType,geometry
3749349021,534400084,0.0,31.5,548.06,516.56,LIN,PVC,,,UNK,,UNK,1.0,
3749349021,534400084,0.0,35.5,548.06,512.56,VOID,UNK,,,UNK,,UNK,1.0,
3749349021,534400084,31.5,34.5,516.56,513.56,INLT,UPVC,,,SAP,0.5,ROT,1.0,
3749349021,534400084,34.5,35.5,513.56,512.56,INLT,UPVC,,,UNK,,ROT,1.0,
3753167101,534500081,0.0,29.0,639.0,610.0,LIN,PVC,163.0,,UNK,,UNK,1.0,
3753167101,534500081,0.0,4.5,639.0,634.5,LIN,STL,219.0,,UNK,,UNK,1.0,
3753167101,534500081,0.0,30.0,639.0,609.0,VOID,UNK,,,UNK,,UNK,1.0,
3753167101,534500081,17.0,23.0,622.0,616.0,INLT,UPVC,163.0,,SLAP,2.0,UNK,1.0,
3753167101,534500081,23.0,29.0,616.0,610.0,INLT,UPVC,163.0,,UNK,,UNK,1.0,
3753167101,534500081,29.0,30.0,610.0,609.0,INLT,UNK,,,UNK,,UNK,1.0,
3756351591,534400079,0.0,3.0,554.75,551.75,LIN,STL,,,UNK,,UNK,1.0,
3756351591,534400079,0.0,31.3,554.75,523.45,LIN,PVC,,,UNK,,UNK,1.0,
3756351591,534400079,0.0,35.3,554.75,519.45,VOID,UNK,,,UNK,,UNK,1.0,
3756351591,534400079,31.3,34.3,523.45,520.45,INLT,UPVC,,,SAP,0.5,ROT,1.0,
3756351591,534400079,34.3,35.3,520.45,519.45,INLT,UPVC,,,UNK,,ROT,1.0,
3757628251,534500057,0.0,25.5,595.0,569.5,LIN,STL,140.0,,UNK,,UNK,1.0,
3757628251,534500057,0.0,25.5,595.0,569.5,VOID,UNK,,,UNK,,UNK,1.0,
3758067241,534500072,0.0,10.0,639.0,629.0,LIN,PVC,,,UNK,,UNK,1.0,
3758067241,534500072,0.0,12.35,639.0,626.65,VOID,UNK,,,UNK,,UNK,1.0,
3758067241,534500072,10.0,12.0,629.0,627.0,INLT,UPVC,,,SLAP,,CBT,1.0,
3758067241,534500072,12.0,12.35,627.0,626.65,INLT,UPVC,,,UNK,,CBT,1.0,
3759404001,534500032,0.5,36.36,633.5,597.64,LIN,UNK,118.0,,UNK,,UNK,1.0,
3759404001,534500032,0.5,48.45,633.5,585.55,VOID,UNK,,,UNK,,UNK,1.0,
3759404001,534500032,36.36,48.45,597.64,585.55,INLT,STL,118.0,,SLAP,,ROT,1.0,
3761814841,484600002,0.0,37.5,687.0,649.5,LIN,PVC,138.0,,UNK,,UNK,1.0,
3761814841,484600002,0.0,37.5,687.0,649.5,VOID,UNK,,,UNK,,UNK,1.0,
3761814841,484600002,27.0,33.0,660.0,654.0,INLT,UNK,138.0,,SLAP,,CBT,1.0,
3763095231,484200003,626.06,1873.303,-252.6,-1499.84,INLT,UNK,,,UNK,,UNK,1.0,
3763095231,484200003,626.06,1873.303,-252.6,-1499.84,VOID,UNK,,,UNK,,UNK,1.0,
3765120101,524400012,0.0,19.3,541.01,521.71,LIN,UNK,152.0,,UNK,,UNK,1.0,
3765120101,524400012,0.0,19.3,541.01,521.71,VOID,UNK,,,UNK,,UNK,1.0,
3770298821,534500036,0.0,4.0,637.0,633.0,LIN,UNK,203.0,,UNK,,UNK,1.0,
3770298821,534500036,0.0,20.5,637.0,616.5,LIN,UNK,152.0,,UNK,,UNK,1.0,
3770298821,534500036,0.0,37.0,637.0,600.0,VOID,UNK,,,UNK,,UNK,1.0,
3770298821,534500036,20.5,27.0,616.5,610.0,INLT,UNK,152.0,,PS,,UNK,1.0,
3770298821,534500036,27.0,37.0,610.0,600.0,INLT,UNK,152.0,,UNK,,UNK,1.0,
3772993981,484200001,0.0,126.49,375.01,248.52,LIN,UNK,127.0,,UNK,,UNK,1.0,
3772993981,484200001,0.0,169.16,375.01,205.85,VOID,UNK,,,UNK,,UNK,1.0,
3772993981,484200001,126.49,132.59,248.52,242.42,INLT,UNK,127.0,,SLAP,,UNK,1.0,
3772993981,484200001,132.59,144.78,242.42,230.23,INLT,UNK,127.0,,UNK,,UNK,1.0,
3772993981,484200001,144.78,156.97,230.23,218.04,INLT,UNK,127.0,,SLAP,,UNK,1.0,
3772993981,484200001,156.97,169.16,218.04,205.85,INLT,UNK,127.0,,UNK,,UNK,1.0,
3778762051,514500117,-0.2,5.8,699.2,693.2,LIN,STL,260.0,,UNK,,UNK,1.0,
3778762051,514500117,-0.2,24.0,699.2,675.0,LIN,PVC,157.0,,UNK,,UNK,1.0,
3778762051,514500117,-0.2,78.0,699.2,621.0,VOID,UNK,,,UNK,,UNK,1.0,
3778762051,514500117,24.0,42.0,675.0,657.0,INLT,UPVC12,157.0,,SLAP,1.0,ROT,1.0,
3778762051,514500117,42.0,66.0,657.0,633.0,LIN,PVC,157.0,,UNK,,UNK,1.0,
3778762051,514500117,66.0,72.0,633.0,627.0,INLT,UPVC12,157.0,,SLAP,1.0,ROT,1.0,
3778762051,514500117,72.0,78.0,627.0,621.0,INLT,UPVC12,157.0,,UNK,,ROT,1.0,
3783977231,534500021,-0.53,15.991000000000003,583.76,567.24,LIN,UNK,152.0,,UNK,,UNK,1.0,
3783977231,534500021,-0.53,17.151000000000003,583.76,566.08,VOID,UNK,,,UNK,,UNK,1.0,
3783977231,534500021,15.99,17.151000000000003,567.24,566.08,INLT,UNK,,,UNK,,CBT,1.0,
3784050511,514500069,0.0,3.5,705.0,701.5,LIN,UNK,150.0,,UNK,,UNK,1.0,
3784050511,514500069,0.0,6.3,705.0,698.7,VOID,UNK,,,UNK,,UNK,1.0,
3784050511,514500069,3.5,6.0,701.5,699.0,INLT,UNK,,,SLAP,,CBT,1.0,
3784050511,514500069,6.0,6.3,699.0,698.7,INLT,UNK,,,UNK,,CBT,1.0,
3787251441,514500098,-0.5,2.5,705.5,702.5,LIN,STL,206.0,,UNK,,UNK,1.0,
3787251441,514500098,-0.5,18.5,705.5,686.5,LIN,PVC12,143.0,,UNK,,UNK,1.0,
3787251441,514500098,-0.5,36.5,705.5,668.5,VOID,UNK,,,UNK,,UNK,1.0,
3787251441,514500098,18.5,24.5,686.5,680.5,INLT,UPVC12,143.0,,SLAP,2.0,ROT,1.0,
3787251441,514500098,24.5,30.5,680.5,674.5,INLT,UPVC12,143.0,,UNK,,ROT,1.0,
3787251441,514500098,30.5,36.5,674.5,668.5,INLT,UPVC12,143.0,,SLAP,2.0,ROT,1.0,
3789352781,474500086,0.0,20.5,593.0,572.5,LIN,UNK,152.0,,UNK,,UNK,1.0,
3789352781,474500086,0.0,27.0,593.0,566.0,VOID,UNK,,,UNK,,UNK,1.0,
3789352781,474500086,20.5,27.0,572.5,566.0,INLT,UNK,,,PS,,UNK,1.0,
3792466241,474500134,0.0,4.0,552.0,548.0,LIN,UNK,203.0,,UNK,,UNK,1.0,
3792466241,474500134,0.0,35.0,552.0,517.0,VOID,UNK,,,UNK,,UNK,1.0,
3792466241,474500134,4.0,28.0,548.0,524.0,LIN,STL,127.0,,UNK,,UNK,1.0,
3792466241,474500134,28.0,35.0,524.0,517.0,INLT,UNK,,,SLAP,,UNK,1.0,
3796657741,514500110,0.3,5.7,699.7,694.3,LIN,STL,206.0,,UNK,,UNK,1.0,
3796657741,514500110,0.3,30.0,699.7,670.0,LIN,PVC,150.0,,UNK,,UNK,1.0,
3796657741,514500110,0.3,36.0,699.7,664.0,VOID,UNK,,,UNK,,UNK,1.0,
3796657741,514500110,30.0,36.0,670.0,664.0,INLT,UPVC,150.0,,SLAP,3.0,ROT,1.0,
3799632661,524400018,-0.5,5.5,574.5,568.5,LIN,STL,205.0,,UNK,,UNK,1.0,
3799632661,524400018,-0.5,48.0,574.5,526.0,LIN,PVC,150.0,,UNK,,UNK,1.0,
3799632661,524400018,-0.5,66.0,574.5,508.0,VOID,UNK,,,UNK,,UNK,1.0,
3799632661,524400018,48.0,60.0,526.0,514.0,INLT,UPVC,150.0,,SLAP,3.0,ROT,1.0,
3799632661,524400018,60.0,66.0,514.0,508.0,INLT,UPVC,150.0,,UNK,,ROT,1.0,
3809155471,514500071,0.0,9.6,640.0,630.4,LIN,UNK,150.0,,UNK,,UNK,1.0,
3809155471,514500071,0.0,9.6,640.0,630.4,VOID,UNK,,,UNK,,UNK,1.0,
3810435811,524400021,-1.12,4.979999999999995,575.56,569.46,LIN,STL,206.0,,UNK,,UNK,1.0,
3810435811,524400021,-1.12,8.379999999999995,575.56,566.06,LIN,PVC,150.0,,UNK,,UNK,1.0,
3810435811,524400021,-1.12,20.379999999999995,575.56,554.06,VOID,UNK,,,UNK,,UNK,1.0,
3810435811,524400021,8.38,15.379999999999995,566.06,559.06,INLT,UPVC,150.0,,SLAP,3.0,ROT,1.0,
3810435811,524400021,15.38,20.379999999999995,559.06,554.06,INLT,UPVC,150.0,,UNK,,ROT,1.0,
3813806001,534500065,0.0,4.0,589.92,585.92,LIN,STL,150.0,,UNK,,UNK,1.0,
3813806001,534500065,0.0,2.0,589.92,587.92,LIN,STL,203.0,,UNK,,UNK,1.0,
3813806001,534500065,0.0,9.8,589.92,580.12,VOID,UNK,,,UNK,,UNK,1.0,
3813806001,534500065,4.0,9.0,585.92,580.92,INLT,STL,150.0,,SLAP,,UNK,1.0,
3813806001,534500065,9.0,9.8,580.92,580.12,INLT,STL,150.0,,UNK,,UNK,1.0,
3819329151,524400025,-0.5,6.5,572.5,565.5,LIN,STL,204.0,,UNK,,UNK,1.0,
3819329151,524400025,-0.5,19.5,572.5,552.5,LIN,PVC,155.0,,UNK,,UNK,1.0,
3819329151,524400025,-0.5,31.5,572.5,540.5,VOID,UNK,,,UNK,,UNK,1.0,
3819329151,524400025,19.5,25.5,552.5,546.5,INLT,UPVC,155.0,,SLAP,2.0,ROT,1.0,
3819329151,524400025,25.5,31.5,546.5,540.5,INLT,UPVC,155.0,,UNK,,ROT,1.0,
3822971041,484300003,0.0,39.0,610.0,571.0,LIN,PVC,152.0,,UNK,,UNK,1.0,
3822971041,484300003,0.0,57.75,610.0,552.25,VOID,UNK,,,UNK,,UNK,1.0,
3822971041,484300003,39.0,46.0,571.0,564.0,INLT,UPVC,152.0,,SLAP,,CBT,1.0,
3822971041,484300003,46.0,57.75,564.0,552.25,INLT,UNK,,,UNK,,CBT,1.0,
3823806211,534500101,0.0,11.0,587.82,576.82,LIN,PVC,135.0,,UNK,,UNK,1.0,
3823806211,534500101,0.0,11.0,587.82,576.82,VOID,UNK,,,UNK,,UNK,1.0,
3823806211,534500101,6.0,11.0,581.82,576.82,INLT,UNK,135.0,,SLAP,,CBT,1.0,
3826307781,534500102,0.0,8.0,587.81,579.81,LIN,PVC,135.0,,UNK,,UNK,1.0,
3826307781,534500102,0.0,8.0,587.81,579.81,VOID,UNK,,,UNK,,UNK,1.0,
3829840981,534400027,-0.72,22.280000000000086,538.9,515.9,LIN,UNK,138.0,,UNK,,UNK,1.0,
3829840981,534400027,-0.72,28.280000000000086,538.9,509.9,VOID,UNK,,,UNK,,UNK,1.0,
3829840981,534400027,22.28,28.280000000000086,515.9,509.9,INLT,UNK,,,SLAP,,ROT,1.0,
3831150561,494500009,0.0,22.5,651.0,628.5,LIN,STL,152.0,,UNK,,UNK,1.0,
3831150561,494500009,0.0,3.0,651.0,648.0,LIN,STL,203.0,,UNK,,UNK,1.0,
3831150561,494500009,0.0,33.0,651.0,618.0,VOID,UNK,,,UNK,,UNK,1.0,
3831150561,494500009,22.5,29.0,628.5,622.0,INLT,STL,152.0,,PS,,UNK,1.0,
