MORPH_ID,HydroCode,FromDepth,ToDepth,TopElev,BottomElev,HGUID,HGUNumber,NafHGUNumber,NafHGUName,Description,Author,Source,Comment,GA_UNIT,GA_STRATNO,geometry
3770298821,534500036,0.0,14.0,637.0,623.0,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,,NIKOLA VASILIC,SAGeodata,,,-999999.0,
3770298821,534500036,14.0,37.0,623.0,600.0,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,,NIKOLA VASILIC,SAGeodata,,,-999999.0,
3772993981,484200001,0.0,38.1,375.01,336.91,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,"DUNE SAND, UNDERLAIN BY APPROX. 11M OF UNCONSOLIDATED YELLOW SAND",PAYNE JL,SAGeodata,,,-999999.0,
3772993981,484200001,38.1,149.35,336.91,225.66,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,,PAYNE JL,SAGeodata,,,-999999.0,
3772993981,484200001,149.35,158.5,225.66,216.51,31000086.0,1085.0,115003,Lower Tertiary sediment aquifer,,PAYNE JL,SAGeodata,,,-999999.0,
3772993981,484200001,158.5,169.16,216.51,205.85,31000056.0,1055.0,134001,Undifferentiated Proterozoic to Mesozoic bedrock,,PAYNE JL,SAGeodata,,,-999999.0,
3772994041,484200002,0.0,54.86,375.0,320.14,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,DUNE SAND UNDERLAIN BY LOOSE YELLOW SAND,PAYNE JL,SAGeodata,,,-999999.0,
3772994041,484200002,54.86,152.4,320.14,222.6,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,,PAYNE JL,SAGeodata,,,-999999.0,
3772994041,484200002,152.4,643.74,222.6,-268.74,31000056.0,1055.0,134001,Undifferentiated Proterozoic to Mesozoic bedrock,,PAYNE JL,SAGeodata,,,-999999.0,
3773334151,474500118,0.0,13.41,696.0,682.59,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,YELLOWISH BROWN LATERITE; OVERBURDEN ON TOP 0.5M,C.HELLWIG,SAGeodata,,,-999999.0,
3783334651,474500102,0.0,4.57,697.0,692.43,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,GRITTY BROWN OCHREOUS CLAY WITH MAGNESITE AND JASPER FRAGMENTS,C.HELLWIG,SAGeodata,,,-999999.0,
3783334651,474500102,4.57,25.91,692.43,671.09,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,"BROWN POWDERY LIMONITE WITH SOME GRIT AND TRACES OF RELICT TEXTURES (OLIVINE, SERPENTINE)",C.HELLWIG,SAGeodata,,,-999999.0,
3783334651,474500102,25.91,30.48,671.09,666.52,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,LIMONITE WITH FINE VEINLETS AND SUGARY QUARTZ,C.HELLWIG,SAGeodata,,,-999999.0,
3783334651,474500102,25.91,45.9,671.09,651.1,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,LIMONITE WITH FINE VEINLETS AND SUGARY QUARTZ,C.HELLWIG,SAGeodata,,,-999999.0,
3783334651,474500102,30.48,45.9,666.52,651.1,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,"BROWN OCHREOUS POWDER WITH FRAGMENTS OF MANGANESE, JASPER AND SOME QUARTZ VEINLETS",C.HELLWIG,SAGeodata,,,-999999.0,
3783977231,534500021,-0.53,4.3510000000000035,583.76,578.88,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,,NIKOLA VASILIC,SAGeodata,,,-999999.0,
3783977231,534500021,4.35,17.151000000000003,578.88,566.08,31000137.0,1136.0,134001,Undifferentiated Proterozoic to Mesozoic bedrock,,NIKOLA VASILIC,SAGeodata,,,-999999.0,
3784050511,514500069,0.0,4.0,705.0,701.0,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,,NIKOLA VASILIC,SAGeodata,,,-999999.0,
3784050511,514500069,4.0,6.3,701.0,698.7,31000045.0,1044.0,125005,Jurassic sediments,,NIKOLA VASILIC,SAGeodata,,,-999999.0,
3785018581,484300021,0.0,36.0,590.0,554.0,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,SANDY CLAY,PAYNE JL,SAGeodata,,,-999999.0,
3785018581,484300021,36.0,60.0,554.0,530.0,31000045.0,1044.0,125005,Jurassic sediments,,PAYNE JL,SAGeodata,,,-999999.0,
3785068971,514500100,0.0,3.0,695.0,692.0,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,,PAYNE JL,SAGeodata,,,-999999.0,
3785068971,514500100,3.0,9.0,692.0,686.0,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,WEATHERED,PAYNE JL,SAGeodata,,,-999999.0,
3785068971,514500100,9.0,30.0,686.0,665.0,31000045.0,1044.0,125005,Jurassic sediments,,PAYNE JL,SAGeodata,,,-999999.0,
3786334651,474500117,0.0,19.51,704.0,684.49,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,YELLOW LATERITE; OVERBURDEN ON TOP 0.5M,C.HELLWIG,SAGeodata,,,-999999.0,
3787251441,514500098,0.0,3.0,705.0,702.0,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,,PAYNE JL,SAGeodata,,,-999999.0,
3787251441,514500098,3.0,18.0,702.0,687.0,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,WEATHERED,PAYNE JL,SAGeodata,,,-999999.0,
3787251441,514500098,18.0,36.5,687.0,668.5,31000045.0,1044.0,125005,Jurassic sediments,,PAYNE JL,SAGeodata,,,-999999.0,
3789352781,474500086,0.0,27.0,593.0,566.0,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,"TOPSOIL, COARSE GRANITE GRAVEL, CLAY AND SANDY CLAY",PAYNE JL,SAGeodata,,,-999999.0,
